Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
home-getpage,1000,6146,1298,173697,17456.52,1.600%,2.05194,5.72,0.28,2855.2
login-getpage,1000,1229,2,2319,389.73,0.500%,2.05163,5.69,0.29,2838.9
get password,1000,2234,2,9102,1308.32,0.400%,2.01617,0.79,0.34,401.5
send password-to-email,1000,916,3,2257,510.85,0.400%,2.01588,0.57,0.52,288.9
U1 - forget password,1000,10526,3451,175538,18133.42,2.100%,2.00692,12.51,1.41,6384.5
login-user1,1000,3759,2,8691,1104.98,0.400%,1.99496,0.72,1.47,370.6
Google login,1000,4571,2,8246,821.78,0.400%,1.97967,0.75,1.49,387.5
Facebook login,1000,4652,2,5265,532.70,0.400%,1.97463,0.75,1.48,387.5
U2 - login,1000,12982,6,21830,1978.55,0.400%,1.95650,2.19,4.38,1145.7
hide 'Education',1000,4758,2,5353,487.77,0.400%,1.97136,4.01,0.48,2080.5
hide 'Work Experience',1000,4717,2,5917,469.15,0.400%,1.97120,3.98,0.48,2068.8
hide 'Projects',1000,4699,2,7925,458.22,0.300%,1.97545,4.00,0.48,2071.6
hide 'Skills',1000,4718,2,16819,647.29,0.300%,1.98240,4.02,0.49,2075.4
hide 'Subjects',1000,4691,2,8764,530.82,0.300%,1.99392,4.04,0.49,2073.5
hide 'Gallery',1000,4688,2,17270,1025.09,0.300%,1.94571,3.94,0.47,2071.4
show 'Education',1000,4743,2,59790,2121.02,0.200%,1.95985,3.96,0.48,2068.2
show 'Work Experience',1000,4763,2,79562,2616.53,0.200%,1.97074,3.98,0.48,2068.2
show 'Projects',1000,5015,2,89617,4903.26,0.800%,1.93305,3.94,0.47,2086.8
show 'Skills',1000,7475,2,238741,17212.69,2.000%,1.94666,4.05,0.47,2128.6
show 'Subjects',1000,4461,2,86189,3959.60,1.600%,1.96179,4.06,0.48,2120.7
show 'Gallery',1000,4233,2,9020,1383.83,1.200%,1.97218,4.06,0.48,2106.3
U3 - hide sections,1000,58968,26,283442,17774.69,3.000%,1.79782,43.93,5.25,25019.8
reset user1,1000,8745,2,15870,2714.25,0.900%,1.99037,0.81,1.62,414.6
see-reset-change,1000,6621,2,86957,3378.84,0.700%,2.01941,4.56,1.19,2313.4
U4 - resetting page,1000,15366,4,86980,5297.50,0.900%,1.98732,5.29,2.79,2728.0
add one file,1000,7491,2,9307,2384.69,0.700%,2.03820,5.01,1.49,2518.1
delete one file,1000,6072,2,9247,2110.62,0.500%,2.04880,6.28,1.51,3140.6
add another,1000,4782,2,15297,1569.20,0.400%,2.04682,6.60,1.57,3301.4
delete another,1000,4417,2,16383,1339.04,0.300%,2.04534,4.16,1.67,2082.8
U5 - delete files,1000,22764,8,33706,6647.92,0.700%,2.03178,21.91,6.19,11043.0
login user1,1000,4512,2,84721,3571.68,0.300%,2.00704,0.72,1.48,368.9
find URL,1000,4849,2,90673,5135.90,2.600%,2.00170,4.42,1.16,2262.6
copy URL,1000,4481,2,79660,4224.24,2.500%,1.99989,4.41,1.16,2258.2
paste URL,1000,1313,2,33423,2517.71,2.300%,1.99875,5.55,1.33,2843.0
U6 - copy and paste URL,1000,15156,12,98745,8128.08,4.200%,1.99871,15.09,5.12,7732.6
send email1,1000,1389,2,60515,3689.67,2.100%,1.99749,0.65,1.56,335.5
send email2,1000,1494,2,84192,4619.17,1.900%,1.99624,0.64,1.62,330.0
U7 - contact another user through email,1000,2884,4,84195,6014.54,2.100%,1.99622,1.30,3.18,665.4
getPage,1000,3379,2,60595,7675.82,2.000%,1.94930,5.41,1.48,2842.4
download,1000,7818,2,77354,12305.91,1.800%,1.93665,185.00,1.12,97820.2
return,1000,2845,2,76790,8460.88,1.800%,1.93430,116.25,1.15,61544.1
U8 - download PDF,1000,14043,6,80508,16445.62,2.100%,1.92727,305.29,3.73,162206.7
TOTAL,42000,7271,2,283442,11648.40,1.152%,68.72189,693.25,53.68,10329.8
